Unnamed: 0,Iterative - Total Converged,Iterative - Amount of Dead Neurons,Iterative - Amount of Dead Layers,Iterative - Total Time,Batch - Total Converged,Batch - Amount of Dead Neurons,Batch - Amount of Dead Layers,Batch - Total Time,Unnamed: 0,Iterative - Total Converged,Iterative - Amount of Dead Neurons,Iterative - Amount of Dead Layers,Iterative - Total Time,Batch - Total Converged,Batch - Amount of Dead Neurons,Batch - Amount of Dead Layers,Batch - Total Time,Unnamed: 0,Iterative - Total Converged,Iterative - Amount of Dead Neurons,Iterative - Amount of Dead Layers,Iterative - Total Time,Batch - Total Converged,Batch - Amount of Dead Neurons,Batch - Amount of Dead Layers,Batch - Total Time
Depth 2 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Depth 2 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Depth 2 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depth 2 - Residual,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.48,Depth 2 - Residual,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.481,Depth 2 - Residual,3.0,1.0,2.0,0.493,3.0,1.0,2.0,0.486
Depth 5 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Depth 5 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Depth 5 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depth 5 - Residual,0.0,0.0,0.0,0.0,3.0,6.5,5.0,0.863,Depth 5 - Residual,3.0,3.0,5.0,0.866,3.0,4.0,5.0,0.864,Depth 5 - Residual,3.0,4.0,5.0,0.866,3.0,3.5,5.0,0.87
Depth 10 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Depth 10 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Depth 10 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depth 10 - Residual,0.0,0.0,0.0,0.0,3.0,16.0,10.0,1.484,Depth 10 - Residual,0.0,0.0,0.0,0.0,3.0,7.5,10.0,1.486,Depth 10 - Residual,3.0,10.0,10.0,1.483,3.0,9.0,10.0,1.486
Depth 20 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Depth 20 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Depth 20 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depth 20 - Residual,0.0,0.0,0.0,0.0,3.0,36.0,20.0,2.726,Depth 20 - Residual,3.0,17.0,20.0,2.706,3.0,16.0,20.0,2.764,Depth 20 - Residual,3.0,22.0,20.0,2.697,3.0,19.0,20.0,2.729
Depth 25 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Depth 25 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Depth 25 - Non Residual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depth 25 - Residual,0.0,0.0,0.0,0.0,3.0,41.5,25.0,3.328,Depth 25 - Residual,3.0,22.0,25.0,3.293,3.0,27.0,25.0,3.327,Depth 25 - Residual,3.0,32.5,25.0,3.299,3.0,24.0,25.0,3.333
