,Iterative - Total Converged,Iterative - Amount of Dead Neurons,Iterative - Amount of Dead Layers,Iterative - Total Time,Batch - Total Converged,Batch - Amount of Dead Neurons,Batch - Amount of Dead Layers,Batch - Total Time
Depth 2 - Non Residual,0,0,0,0,0,0,0,0
Depth 2 - Residual,3.0,1.0,2.0,0.313,3.0,1.0,2.0,0.305
Depth 5 - Non Residual,0,0,0,0,0,0,0,0
Depth 5 - Residual,3.0,2.0,5.0,0.527,3.0,3.0,5.0,0.525
Depth 10 - Non Residual,0,0,0,0,0,0,0,0
Depth 10 - Residual,3.0,8.5,10.0,0.873,3.0,8.0,10.0,0.876
Depth 20 - Non Residual,0,0,0,0,0,0,0,0
Depth 20 - Residual,3.0,21.0,20.0,1.562,3.0,16.5,20.0,1.581
Depth 25 - Non Residual,0,0,0,0,0,0,0,0
Depth 25 - Residual,3.0,26.0,25.0,1.886,3.0,26.0,25.0,1.927
Depth 30 - Non Residual,0,0,0,0,0,0,0,0
Depth 30 - Residual,3.0,26.0,30.0,2.216,3.0,33.0,30.0,2.26
